This test runs the WebGL Test listed below in an iframe and reports PASS or FAIL.

Test: ../../resources/webgl_test_files/conformance2/attribs/gl-vertex-attrib.html
[ 1: PASS ] context exists
[ 2: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 741: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 742: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 743: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 744: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 745: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 746: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 747: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 748: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 749: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 750: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 751: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 752: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 753: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 754: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 755: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 756: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 757: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 758: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 759: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 760: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] is -3
[ 761: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 762: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 763: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] is 5
[ 764: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 765: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 766: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 767: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 768: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 769: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 770: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 771: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 772: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 773: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] is 7
[ 774: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] is 8
[ 775: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] is 9
[ 776: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 777: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 778: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 779: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 780: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] is 8
[ 781: PASS ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] is 9
[ 782: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 783: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 784: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 785: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 786: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 787: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 788: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 789: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 790: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 791: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 792: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 793: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 794: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 795: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 796: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 797: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 798: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] should be 1. Was 6.
[ 799: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 800: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] should be -1. Was 8.
[ 801: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 802: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 803: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 804: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 805: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 806: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 807: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 808: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 809: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[1] should be 2. Was 7.
[ 810: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 811: FAIL ] gl.getVertexAttrib(8, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 812: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 813: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 814: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 815: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 816: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 817: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 818: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] is -1
[ 819: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 820: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 821: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 822: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 823: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 824: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 825: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 826: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 827: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 828: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 829: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 830: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 831: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 832: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 833: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 834: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 835: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 836: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 837: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 838: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 839: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 840: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 841: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 842: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 843: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 844: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 845: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 846: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 847: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 848: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 849: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 850: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] is -3
[ 851: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 852: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 853: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] is 5
[ 854: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 855: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 856: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 857: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 858: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 859: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 860: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 861: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 862: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 863: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] is 7
[ 864: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] is 8
[ 865: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] is 9
[ 866: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 867: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 868: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 869: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 870: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] is 8
[ 871: PASS ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] is 9
[ 872: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 873: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 874: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 875: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 876: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 877: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 878: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 879: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 880: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 881: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 882: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 883: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 884: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 885: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 886: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 887: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 888: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] should be 1. Was 6.
[ 889: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 890: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] should be -1. Was 8.
[ 891: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 892: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 893: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 894: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 895: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 896: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 897: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 898: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 899: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[1] should be 2. Was 7.
[ 900: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 901: FAIL ] gl.getVertexAttrib(9, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 902: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 903: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 904: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 905: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 906: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 907: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 908: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] is -1
[ 909: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 910: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 911: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 912: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 913: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 914: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 915: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 916: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 917: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 918: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 919: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 920: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 921: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 922: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 923: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 924: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 925: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 926: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 927: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 928: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 929: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 930: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 931: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 932: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 933: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 934: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 935: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 936: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 937: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 938: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 939: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 940: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] is -3
[ 941: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 942: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 943: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] is 5
[ 944: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 945: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 946: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 947: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 948: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 949: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 950: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 951: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 952: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 953: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] is 7
[ 954: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] is 8
[ 955: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] is 9
[ 956: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 957: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 958: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 959: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 960: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] is 8
[ 961: PASS ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] is 9
[ 962: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 963: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 964: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 965: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 966: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 967: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 968: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 969: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 970: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 971: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 972: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 973: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 974: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 975: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 976: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 977: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 978: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] should be 1. Was 6.
[ 979: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 980: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] should be -1. Was 8.
[ 981: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 982: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 983: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 984: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 985: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 986: FAIL ] gl.getVertexAttrib(10, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
